trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2024-03-20 00:00:00 +0000 +0000,1,83,35.2627646326276463
2015-11-28 00:00:00 +0000 +0000,4,69,35.5139860139860140
2016-09-10 00:00:00 +0000 +0000,1,40,16.3543859649122807
2016-06-13 00:00:00 +0000 +0000,1,60,28.7638888888888889
2023-09-25 00:00:00 +0000 +0000,1,78,32.1833550065019506
2022-11-26 00:00:00 +0000 +0000,1,65,29.1517027863777090
2018-07-21 00:00:00 +0000 +0000,1,44,19.8710801393728223
2017-11-23 00:00:00 +0000 +0000,1,57,24.4459930313588850
2021-07-16 00:00:00 +0000 +0000,2,47,25.0277777777777778
2021-08-24 00:00:00 +0000 +0000,2,65,31.0729166666666667
2023-09-20 00:00:00 +0000 +0000,1,83,33.9127604166666667
2023-11-09 00:00:00 +0000 +0000,1,89,39.9278074866310160
2024-04-21 00:00:00 +0000 +0000,1,58,25.3974540311173975
2019-09-20 00:00:00 +0000 +0000,1,80,37.6250000000000000
2018-09-18 00:00:00 +0000 +0000,1,56,23.2810218978102190
2020-04-27 00:00:00 +0000 +0000,1,36,11.9233449477351916
2018-05-12 00:00:00 +0000 +0000,2,62,32.8566433566433566
2018-11-28 00:00:00 +0000 +0000,1,76,37.1423611111111111
2018-09-05 00:00:00 +0000 +0000,1,67,30.0348432055749129
2016-09-08 00:00:00 +0000 +0000,1,71,36.8526315789473684
2021-03-21 00:00:00 +0000 +0000,2,18,9.0510948905109489
2020-12-31 00:00:00 +0000 +0000,1,62,26.7569444444444444
2019-11-07 00:00:00 +0000 +0000,2,69,30.1909722222222222
2017-10-08 00:00:00 +0000 +0000,1,45,20.7395833333333333
2020-09-15 00:00:00 +0000 +0000,4,62,32.2758620689655172
2023-07-11 00:00:00 +0000 +0000,1,69,34.1202113606340819
2024-04-26 00:00:00 +0000 +0000,1,74,37.7338028169014085
2017-02-15 00:00:00 +0000 +0000,1,53,23.5243055555555556
2020-05-09 00:00:00 +0000 +0000,1,17,7.5053763440860215
2019-07-11 00:00:00 +0000 +0000,2,53,28.8819444444444444
2020-10-15 00:00:00 +0000 +0000,4,71,33.0729166666666667
2020-05-23 00:00:00 +0000 +0000,1,17,6.9300699300699301
2021-06-29 00:00:00 +0000 +0000,1,65,33.5082644628099174
2023-08-17 00:00:00 +0000 +0000,1,71,29.6591809775429326
2021-06-16 00:00:00 +0000 +0000,2,63,36.4320557491289199
2019-10-16 00:00:00 +0000 +0000,1,62,26.6560283687943262
2023-04-22 00:00:00 +0000 +0000,1,76,42.6877761413843888
2020-03-21 00:00:00 +0000 +0000,1,15,7.9078014184397163
2020-05-15 00:00:00 +0000 +0000,1,53,20.4080717488789238
2017-03-25 00:00:00 +0000 +0000,1,49,25.6689895470383275
2018-04-11 00:00:00 +0000 +0000,1,63,28.5489510489510490
